,,,
,,,
Balises,longueur (mm),Canton,Train(s) concern̩s
B1_B2 ,1671,C2,Train1
B2_B3,1898,C3,Train1
B3_B4,2264,C4,
B3_B12 ,2673,C12,Train1
B3_B26,3895,C26,
 B4_B5,1617,C5,
 B5_B6,1612,C6,
B6_B7,2134,C7,
B7_B8,1835,C8,Train 1 et Train 3
B8_B9,1628,C9,Train 1 et Train 3
B9_B1,2785,C1,Train1
B10_B11,2769,C11,
B11_B12 ,2419,C12b,Train3
B11_B26 ,3500,C26,
B12_B13,2084,C13,Train1 et Train3
B13_B14 ,2104,C14,
B14_B15 ,1489,C15,
B15_B16 ,1975,C16,
B15_B21,2636,C21,
B16_B10,3754,C10,
B17_B11 ,2968,C11b,Train2
B12_B18 ,2056,C18,
B18_B19,1447,C19,
B19_B20,2261,C20,
B20_B21 ,2494,C21,Train2
B21_B17,2608,C17,Train2
B21_B22 ,3272,C22,
B22_B23 ,1664,C23,Train3
 B23_B24 ,1716,C24,Train3
 B24_B25 ,1703,C25,Train3
B25_B250 ,643,C25,Train3
 B250_B26,1165,C26,Train3
 B26_B251 ,1025,C26b,Train3
B251_B27 ,2015,C27,Train3
B27_B28,1580,C28,Train3
B28_B29,1903,C29,Train3
B29_B11,3008,C11b,Train3
B13_B7 ,2628,C7b,Train 1 et Train 3
B9_B17,3416,C17b,
B9_B22,4089,C22b,Train3
B16_B22,4242,C22t,
 B16_B1 ,2943,C1t,
B16_B17,3570,C17t,
B9_B10 ,3620,C10b,
